Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Jimmy Neutron: Boy Genius	animation, action, adventure, comedy, family, sci_fi	2001	John A. Davis	5.9	82	http://www.imdb.com/title/tt0268397/
Just Visiting	comedy, fantasy, sci_fi	2001	Jean-Marie Gaubert	5.6	88	http://www.imdb.com/title/tt0189192/
Left Behind	action, drama, fantasy, sci_fi, thriller	2001	Vic Sarin	4.4	96	http://www.imdb.com/title/tt0190524/
The One	action, sci_fi, thriller	2001	James Wong	5.8	87	http://www.imdb.com/title/tt0267804/
Eight Legged Freaks	action, comedy, horror, sci_fi, thriller	2002	Ellory Elkayem	5.4	99	http://www.imdb.com/title/tt0271367/
S1m0ne	comedy, drama, fantasy, sci_fi	2002	Andrew Niccol	6	117	http://www.imdb.com/title/tt0258153/
Solaris	drama, mystery, romance, sci_fi	2002	Steven Soderbergh	6.1	99	http://www.imdb.com/title/tt0307479/
Spy Kids 2: Island of Lost Dreams	action, adventure, comedy, family, sci_fi	2002	Robert Rodriguez	5	100	http://www.imdb.com/title/tt0287717/
The Tuxedo	action, comedy, sci_fi, thriller	2002	Kevin Donovan	5.1	98	http://www.imdb.com/title/tt0290095/
The Core	action, adventure, sci_fi, thriller	2003	Jon Amiel	5.3	135	http://www.imdb.com/title/tt0298814/
Spy Kids 3-D: Game Over	action, adventure, comedy, family, sci_fi	2003	Robert Rodriguez	4	84	http://www.imdb.com/title/tt0338459/
Anacondas: The Hunt for the Blood Orchid	action, adventure, horror, sci_fi, thriller	2004	Dwight Little	4.3	97	http://www.imdb.com/title/tt0366174/
Thunderbirds	action, adventure, comedy, family, sci_fi	2004	Jonathan Frakes	4	95	http://www.imdb.com/title/tt0167456/
Land of the Dead	horror, sci_fi	2005	George A. Romero	6.3	93	http://www.imdb.com/title/tt0418819/
A Sound of Thunder	action, adventure, sci_fi, thriller	2005	Peter Hyams	4.1	110	http://www.imdb.com/title/tt0318081/
